NOP: 45
NINT: 12
0 164 1
164 320 2
320 618 3
618 688 4
688 823 5
823 894 6
894 1084 7
1084 1394 6
1394 1428 5
1428 1655 4
1655 1772 3
1772 300000 2
1 46 529
2 61 613
3 51 885
4 67 293
5 51 1060
6 38 584
7 48 452
8 26 1075
9 63 950
10 56 318
11 58 278
12 45 160
13 62 241
14 49 300
15 53 299
16 75 728
17 52 365
18 36 1044
19 57 393
20 47 1059
21 33 433
22 60 1030
23 34 965
24 58 1042
25 51 587
26 56 1117
27 30 67
28 63 507
29 61 984
30 59 612
31 46 382
32 63 749
33 66 708
34 38 235
35 53 833
36 66 631
37 41 401
38 62 365
39 52 424
40 49 609
41 51 953
42 51 1061
43 50 394
44 64 1083
45 48 323
